brand,title,type,price,priceWithCurrency,available,availableText,sold,lastUpdated,itemLocation,city,state,country
Dior,Christian Dior Sauvage Men'S Edp 34 Oz Fragrance Spray,Eau de Parfum,84.99,84.99,10.0,More than 10 available / 116 sold,116.0,2024-05-24 10:03:04-07:00,"Allen Park, Michigan, United States",Allen Park,Michigan,United States
AS SHOW,Aventus Eau De Parfum 33 Oz 100Ml Millesime Edp Cologne For Men New In Box,Eau de Parfum,109.99,109.99,8.0,8 available / 48 sold,48.0,2024-05-23 23:07:49-07:00,"Atlanta, Georgia, Canada",Atlanta,Georgia,Canada
Unbranded,Hogo Boss Cologne For Men 34 Oz,Eau de Toilette,100.0,100.00,10.0,More than 10 available / 27 sold,27.0,2024-05-22 21:55:43-07:00,"Dearborn, Michigan, United States",Dearborn,Michigan,United States
Giorgio Armani,Acqua Di Gio By Giorgio Armani 67 Fl Oz Eau De Toilette Spray Men' New & Sealed,Eau de Toilette,44.99,44.99,2.0,2 available / 159 sold,159.0,2024-05-24 03:30:43-07:00,"Reinholds, Pennsylvania, United States",Reinholds,Pennsylvania,United States
Lattafa,Lattafa Men'S Hayaati Al Maleky Edp Spray 34 Oz Fragrances 6291108734056,Fragrances,16.91,16.91,0,Limited quantity available / 156 sold,156.0,2024-05-24 07:56:25-07:00,"Brooklyn, New York, United States",Brooklyn,New York,United States
Multiple Brands,Men'S Perfume Sampler 10Pcs Sample Vials Designer Fragrance Samples For Men,Perfume,14.99,14.99,10.0,More than 10 available / 79 sold,79.0,2024-05-23 06:57:41-07:00,"Houston, Texas, United States",Houston,Texas,United States
Maison Alhambra,Glacier Bold By Maison Alhambra 34Oz Edp For Men New Sealed Can,Eau de Parfum,30.99,30.99,9.0,9 available / 39 sold,39.0,2024-05-16 13:42:49-07:00,"Englewood Cliffs, New Jersey, United States",Englewood Cliffs,New Jersey,United States
Unbranded,Parfums Demarlyhaltane Eau De Parfum Spray 42 Oz For Men New In Box,Eau de Parfum,85.0,85.00,0,Last One / 6 sold,6.0,2024-05-24 00:10:39-07:00,"Ithaca, New York, United States",Ithaca,New York,United States
Unbranded,Hawas For Him Eau De Parfum By Rasasi 100Ml 34 Fl Oz New,/,15.89,15.89,10.0,10 available / 17 sold,17.0,2024-05-24 09:08:14-07:00,"shanghai, China",shanghai,China,
Gucci,"Gucci Guilty For Him Classic 3Oz Eau De Toilette Spray, Brand New",Eau de Parfum,49.99,49.99,8.0,8 available / 68 sold,68.0,2024-05-23 07:21:23-07:00,"Dearborn Heights, Michigan, United States",Dearborn Heights,Michigan,United States
Ralph Lauren,Polo Blue By Ralph Lauren 42 Oz Edt Cologne For Men Brand New In Box,Eau de Toilette,34.99,34.99,10.0,More than 10 available / 615 sold,615.0,2024-05-24 07:53:23-07:00,"Ecorse, Michigan, United States",Ecorse,Michigan,United States
